NO.,Name of health facility,Telephone number,Email Address,Street Address,Municipality,Expiry Date,Sector of health facility,Head of the facility,Region,Province
2,Bangued Rural Health Unit,746141845,rhubangued@yahoo.com,ACTIVIDAD ECONOMIA ST. ZONE 3,BANGUED,31/12/2026,G,"Glygoric A. Cortes, M.D.",CORDILLERA ADMINISTRATIVE REGION,ABRA
16,Peñarrubia Rural Health Unit,746171355,rhupenarrubia81@gmail.com,"PIKINIO, DUMAYCO",PENARUBIA,31/12/2025,G,"Elsa D. Gonzales, Md",CORDILLERA ADMINISTRATIVE REGION,ABRA
22,Tayum Rural Health Unit,746140671,rhutayumabra2014@gmail.com,POBLACION,TAYUM,31/12/2027,G,"Joseph A. Galpo, M.D.",CORDILLERA ADMINISTRATIVE REGION,ABRA
34,Asin District Health Center,746204798,asinhealthcenter@gmail.com,"UPPER PUROK 3, KM 4, ASIN ROAD",BAGUIO CITY,31/12/2025,G,"Bong M. Lagman, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
35,Atab District Health Center,744209087,atabhc2019@gmail.com,"STO. TOMAS ROAD, DONTOGAN",BAGUIO CITY,31/12/2025,G,"Karla C. Tabin, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
37,"Atok Trail District Health 
Center",074-6205395,atoktrailhc2019@gmail.com,01 ATOK TRAIL,BAGUIO CITY,31/12/2025,G,Kea Ville Basbasan-Malucon,CORDILLERA ADMINISTRATIVE REGION,BENGUET
38,"Aurora Hill District Health 
Center",746657772,aurorahillhealthcenter@gmail.com,"01 MALVAR STREET, AURORA HILL",BAGUIO CITY,31/12/2025,G,"Marie Therese A. Sumbillo, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
39,Baguio General Hospital And Medical Center,744423165,mcc@bghmc.doh.gov.ph,GOVERNOR PACK ROAD,BAGUIO CITY,31/12/2026,G,"Larry C. Haya, Jr., Md, Dpcp,
Mba",CORDILLERA ADMINISTRATIVE REGION,BENGUET
41,Benguet General Hospital,744224722,beghmail.admn@yahoo.com,"KM. 5, PICO",LA TRINIDAD,31/12/2025,G,"Maria Imelda C. Ulep, Md, Mha,
Fpcom",CORDILLERA ADMINISTRATIVE REGION,BENGUET
43,Buguias Rural Health Unit,746619765,buguiasrhu2607@gmail.com,LOO,BUGUIAS,31/12/2025,G,"Hilga G. Kimakim, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
45,"Campo Filipino District Health 
Center",074-4420031,campofilipino@gmail.com,"DANGWA ST., CRESENCIA VILLAGE",BAGUIO CITY,31/12/2025,G,"Grace Angelica O. Tolito, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
46,City Camp District Health Center,074,citycamphc@gmail.com,"CITY CAMP CENTRAL,",BAGUIO CITY,31/12/2025,G,"Nelson E. Hora, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
